t,H,L
0.0,2.18,4.44
1.0,2.1921031635838104,4.402844191747885
2.0,2.204088908377548,4.366671797320875
3.0,2.215952120143679,4.331455007185633
4.0,2.227687462822025,4.29716792831716
5.0,2.239289386865762,4.2637864403435985
6.0,2.250159673703431,4.2330610197336975
7.0,2.257969023795059,4.211582094983465
8.0,2.263700856157604,4.195983922475508
9.0,2.268037222648479,4.184145884403579
10.0,2.27137845608398,4.1748909203186315
11.0,2.2739796312188787,4.167501413111091
12.0,2.2760133838440275,4.1615089856224055
13.0,2.2776020493111755,4.156591736711272
14.0,2.2788354758447484,4.152519360290647
15.0,2.279791658266464,4.149098079123088
16.0,2.28066062705828,4.145877883538343
17.0,2.2815062842988545,4.14270860183422
18.0,2.2823289441145933,4.1395893987586225
19.0,2.283128920792793,4.136519447139186
20.0,2.2839065286083806,4.133497927983787
21.0,2.284662081654746,4.1305240305764555
22.0,2.2853958936788175,4.127596952568511
23.0,2.2861082779205013,4.124715900064756
24.0,2.286799546956605,4.121880087704616
25.0,2.287470012549341,4.119088738738088
26.0,2.288119985499496,4.116341085096429
27.0,2.288749775504343,4.113636367457489
28.0,2.2893596910203518,4.11097383530565
29.0,2.2899500391307415,4.108352746986317
30.0,2.2905211254179205,4.105772369754952
31.0,2.291073253840825,4.103231979820633
32.0,2.291606726617177,4.100730862384152
33.0,2.2921218441106563,4.098268311670675
34.0,2.292618904722985,4.095843630956989
35.0,2.293098204790898,4.093456132593399
36.0,2.293560038487978,4.091105138020319
37.0,2.294004697731316,4.088789977779635
38.0,2.2944324720929554,4.086509991520913
39.0,2.2948436487160637,4.084264528002548
40.0,2.2952385122357777,4.082052945087942
41.0,2.295617344704654,4.079874609736824
42.0,2.295980425522656,4.077728897991813
43.0,2.2963280313715964,4.075615194960348
44.0,2.29666043615396,4.073532894792111
45.0,2.2969779109360142,4.071481400652058
46.0,2.297280723895117,4.069460124689204
47.0,2.2975691402711367,4.06746848800129
48.0,2.2978434223218738,4.065505920595467
49.0,2.298103829282394,4.063571861345151
50.0,2.2983506173281674,4.061665757943176
51.0,2.298584039541905,4.059787066851405
52.0,2.298804345883993,4.057935253246931
53.0,2.2990117831664145,4.05610979096502
54.0,2.2992065950300438,4.054310162438955
55.0,2.2993890219252173,4.052535858636898
56.0,2.2995593010954574,4.050786378995948
57.0,2.299717666564248,4.049061231353512
58.0,2.2998643491247486,4.04735993187616
59.0,2.299999576332339,4.04568200498608
60.0,2.3001235724998828,4.044026983285292
61.0,2.3002365586956066,4.042394407477751
62.0,2.300338752743484,4.040783826289478
63.0,2.3004303692260173,4.0391947963868535
64.0,2.3005116194893187,4.037626882293201
65.0,2.30058271165038,4.036079656303793
66.0,2.3006438506064355,4.034552698399407
67.0,2.300695238046316,4.033045596158548
68.0,2.3007370724636957,4.03155794466846
69.0,2.300769549172135,4.030089346435049
70.0,2.300792860321831,4.028639411291816
71.0,2.300807194917976,4.027207756307929
72.0,2.3008127388406403,4.0257940056955235
73.0,2.3008096748660916,4.0243977907163435
74.0,2.3007981826894603,4.023018749587823
75.0,2.3007784389486767,4.021656527388696
76.0,2.3007506172495926,4.02031077596424
77.0,2.3007148881922137,4.018981153831227
78.0,2.3006714193979647,4.017667326082686
79.0,2.300620375537914,4.01636896429254
80.0,2.30056191836189,4.0150857464202145
81.0,2.300496206728417,4.013817356715274
82.0,2.300423396635405,4.012563485622177
83.0,2.300343641251534,4.011323829685209
84.0,2.3002570909482656,4.010098091453656
85.0,2.300163893332427,4.008885979387288
86.0,2.3000641932793084,4.007687207762209
87.0,2.2999581329662186,4.006501496577133
88.0,2.2998458519064506,4.005328571460131
89.0,2.2997274869836026,4.004168163575906
90.0,2.2996031724862083,4.003020009533644
91.0,2.29947304014263,4.001883851295488
92.0,2.2993372191561723,4.000759436085658
93.0,2.299195836240371,3.9996465163002926
94.0,2.2990490156544205,3.9985448494180136
95.0,2.2988968792387037,3.997454197911266
96.0,2.2987395464503777,3.996374329158465
97.0,2.298577134398997,3.9953050153569736
98.0,2.2984097578821276,3.9942460334369465
99.0,2.298237529420927,3.993197164976054
100.0,2.2980605592956636,3.992158196115124
101.0,2.2978789555811407,3.9911289174747093
102.0,2.2976928241820067,3.9901091240726108
103.0,2.29750226886792,3.989098615242367
104.0,2.2973073913085513,3.988097194552729
105.0,2.2971082911083966,3.987104669728132
106.0,2.296905065841386,3.986120852570184
107.0,2.296697811085262,3.985145558880168
108.0,2.2964866204557186,3.9841786083825848
109.0,2.2962715856402753,3.9832198246497277
110.0,2.2960527964318778,3.9822690350273082
111.0,2.2958303407622056,3.9813260705611326
112.0,2.295604304734679,3.9803907659248323
113.0,2.2953747726571456,3.979462959348656
114.0,2.2951418270742456,3.978542492549319
115.0,2.294905548799433,3.9776292106609183
116.0,2.2946660169466546,3.9767229621669045
117.0,2.29442330896167,3.975823598833116
118.0,2.2941775006530123,3.974930975641872
119.0,2.2939286662225733,3.9740449507271176
120.0,2.293676878295817,3.973165385310626
121.0,2.2934222079516084,3.9722921436392404
122.0,2.293164724751657,3.971425092923165
123.0,2.2929044967695673,3.9705641032752865
124.0,2.292641590619499,3.9697090476515298
125.0,2.2923760714844232,3.968859801792233
126.0,2.292108003143986,3.9680162441645415
127.0,2.2918374480019654,3.967178255905805
128.0,2.2915644671133255,3.9663457207679778
129.0,2.2912891202108696,3.965518525063005
130.0,2.2910114657314855,3.964696557609194
131.0,2.2907315608419876,3.9638797096785523
132.0,2.2904494614645543,3.9630678749450894
133.0,2.290165222301761,3.9622609494340697
134.0,2.2898788968612123,3.9614588314722026
135.0,2.289590537479771,3.9606614216387657
136.0,2.289300195347388,3.959868622717644
137.0,2.2890079205305356,3.9590803396502765
138.0,2.2887137619952425,3.958296479489501
139.0,2.288417767629739,3.957516951354277
